Date,Temperature,Humidity,WindSpeed,Precipitation
2023-12-01,17.6,74,12.3,4.97
2023-12-02,34.1,51,5.6,4.67
2023-12-03,34.8,90,8.1,8.7
2023-12-04,16.1,80,19.3,7.04
2023-12-05,18.2,39,17.3,7.04
2023-12-06,19.6,74,15.3,2.32
2023-12-07,25.9,68,10.2,5.77
2023-12-08,27.1,76,14.7,7.63
2023-12-09,30.4,45,1.5,4.91
2023-12-10,25.4,53,5.4,7.31
2023-12-11,19.3,71,3.7,7.49
2023-12-12,34.9,60,4.5,3.31
2023-12-13,25.2,48,2.4,8.48
2023-12-14,27.4,60,10.0,8.59
2023-12-15,18.8,38,15.6,7.5
2023-12-16,24.4,30,17.6,9.41
2023-12-17,28.7,75,15.9,1.51
2023-12-18,17.5,83,19.2,2.69
2023-12-19,34.5,59,18.1,6.94
2023-12-20,31.6,59,4.1,9.44
2023-12-21,24.0,84,0.9,2.03
2023-12-22,26.6,37,2.9,1.49
2023-12-23,29.9,43,4.5,9.01
2023-12-24,16.0,83,18.1,3.65
2023-12-25,34.2,72,10.8,2.35
2023-12-26,30.4,41,19.0,8.65
2023-12-27,30.0,89,14.8,9.1
2023-12-28,18.7,80,1.6,1.04
2023-12-29,25.6,90,11.9,4.27
2023-12-30,29.6,49,17.9,1.75
2023-12-31,16.4,83,9.8,2.46
